wairlinewarrivalwarrival_timewdatewdeparturewdeparture_timewoverall_hourwpricewlinks
17w에어아시아엑스wSINw20:45w2020.04.04wICNw09:45w12시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.04.&fareType=Y&selectedFlight=1:20200404ICNKULD70507%2B20200404KULSINAK0721:A01:HK:D7
18w에어아시아엑스wSINw10:50w2020.04.04wICNw16:25w19시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.04.&fareType=Y&selectedFlight=1:20200404ICNKULD70505%2B20200405KULSINAK0707:A01:HK:D7
19w에어아시아엑스wSINw08:30w2020.04.04wICNw16:25w17시간w115,496whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.04.&fareType=Y&selectedFlight=1:20200404ICNKULD70505%2B20200405KULSINAK0703:A01:HK:D7
20w에어아시아엑스wSINw08:30w2020.04.05wICNw16:25w17시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.05.&fareType=Y&selectedFlight=1:20200405ICNKULD70505%2B20200406KULSINAK0703:A01:HK:D7
21w에어아시아엑스wSINw10:50w2020.04.05wICNw16:25w19시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.05.&fareType=Y&selectedFlight=1:20200405ICNKULD70505%2B20200406KULSINAK0707:A01:HK:D7
22w에어아시아엑스wSINw08:30w2020.04.05wICNw09:45w23시간w108,909whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.05.&fareType=Y&selectedFlight=1:20200405ICNKULD70507%2B20200406KULSINAK0703:A01:HK:D7
23w에어아시아엑스wSINw13:40w2020.04.05wICNw16:25w22시간w116,424whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.05.&fareType=Y&selectedFlight=1:20200405ICNKULD70505%2B20200406KULSIND70678:A01:HK:D7
24w에어아시아엑스wSINw15:40w2020.04.05wICNw16:25w24시간w117,906whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.05.&fareType=Y&selectedFlight=1:20200405ICNKULD70505%2B20200406KULSINAK0715:A01:HK:D7
25w에어아시아엑스wSINw20:00w2020.04.06wICNw09:45w11시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.06.&fareType=Y&selectedFlight=1:20200406ICNKULD70507%2B20200406KULSINAK0719:A01:HK:D7
26w에어아시아엑스wSINw20:45w2020.04.06wICNw09:45w12시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.06.&fareType=Y&selectedFlight=1:20200406ICNKULD70507%2B20200406KULSINAK0721:A01:HK:D7
